IP_ADDRESS,TEST_DATE,TIME_ZONE,DOWNLOAD_MEGABITS,UPLOAD_MEGABITS,LATENCY_MS,SERVER_NAME,DISTANCE_MILES
"134.53.233.97","2/5/2017 3:19 AM","GMT","886.07","931.76","5","Oxford, OH","0"
"134.53.233.97","2/5/2017 3:19 AM","GMT","907.78","935.38","3","Oxford, OH","0"
"134.53.233.97","2/5/2017 3:20 AM","GMT","910.68","927.88","2","Oxford, OH","0"
"68.180.88.18","4/4/2017 3:37 AM","GMT","3.74","11.17","35","Indianapolis, IN","100"
"68.180.88.18","4/4/2017 3:42 AM","GMT","35.58","20.89","25","Chicago, IL","250"
"68.180.90.136","4/4/2017 5:05 AM","GMT","399.01","514.15","27","Indianapolis, IN","100"
"68.180.90.136","4/4/2017 5:22 AM","GMT","147.29","94.79","29","Indianapolis, IN","100"
"134.53.233.170","4/6/2017 1:28 PM","GMT","569.35","406.28","1","Oxford, OH","0"
"134.53.233.170","4/6/2017 1:29 PM","GMT","570.57","381.15","1","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:04 PM","GMT","770.78","267.75","2","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:05 PM","GMT","864.94","55.84","2","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:07 PM","GMT","666.41","62.44","1","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:08 PM","GMT","736.70","37.67","2","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:09 PM","GMT","612.30","100.21","1","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:09 PM","GMT","704.02","65.65","2","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:22 PM","GMT","713.73","119.64","2","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:22 PM","GMT","725.78","81.74","2","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:23 PM","GMT","720.01","26.66","1","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:25 PM","GMT","722.26","98.02","2","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:26 PM","GMT","741.73","26.70","1","Oxford, OH","0"
"134.53.233.170","4/6/2017 3:27 PM","GMT","707.41","52.58","1","Oxford, OH","0"
"134.53.87.105","4/6/2017 3:29 PM","GMT","47.47","25.24","6","Yellow Springs, OH","50"
"134.53.87.105","4/6/2017 3:30 PM","GMT","46.40","14.64","10","Yellow Springs, OH","50"
"134.53.87.105","4/6/2017 3:30 PM","GMT","79.79","21.12","17","Yellow Springs, OH","50"
"134.53.87.105","4/6/2017 3:31 PM","GMT","54.27","20.75","7","Yellow Springs, OH","50"
"134.53.87.105","4/6/2017 3:33 PM","GMT","86.55","18.99","6","Yellow Springs, OH","50"
"134.53.120.177","4/6/2017 9:36 PM","GMT","9.70","8.92","7","Yellow Springs, OH","50"
"134.53.120.177","4/6/2017 9:36 PM","GMT","9.61","9.64","7","Yellow Springs, OH","50"
"68.180.88.17","4/13/2017 3:08 AM","GMT","16.33","17.47","31","Indianapolis, IN","100"
"174.233.0.213","4/15/2017 7:59 PM","GMT","0.28","1.86","474","Columbus, OH","50"
"134.53.87.106","4/25/2017 2:38 PM","GMT","100.70","92.33","2","Oxford, OH","0"
"134.53.87.106","4/25/2017 2:39 PM","GMT","97.05","79.22","2","Oxford, OH","0"
"68.180.88.18","4/27/2017 3:36 AM","GMT","86.55","37.36","30","Indianapolis, IN","100"
"68.180.88.18","4/27/2017 3:51 AM","GMT","78.08","30.31","38","Dayton, OH","50"
"68.180.88.18","4/27/2017 3:53 AM","GMT","79.56","42.55","109","Dayton, OH","50"
"68.180.88.18","4/27/2017 4:03 AM","GMT","31.58","43.33","88","Dayton, OH","50"
"68.180.88.18","4/27/2017 4:05 AM","GMT","85.13","43.48","37","Dayton, OH","50"
"68.180.88.18","4/27/2017 5:25 AM","GMT","14.87","12.17","30","Indianapolis, IN","100"
"68.180.88.18","4/27/2017 5:25 AM","GMT","16.12","16.32","29","Indianapolis, IN","100"
"68.180.88.18","4/27/2017 5:27 AM","GMT","17.63","20.85","28","Indianapolis, IN","100"
"68.180.88.18","4/27/2017 5:30 AM","GMT","17.61","17.75","28","Indianapolis, IN","100"
"134.53.87.106","4/27/2017 2:07 PM","GMT","86.88","85.60","2","Oxford, OH","0"
"134.53.87.106","4/27/2017 2:09 PM","GMT","57.67","77.30","3","Oxford, OH","0"
"134.53.87.106","4/27/2017 2:10 PM","GMT","88.65","69.66","2","Oxford, OH","0"
"134.53.84.81","5/2/2017 2:14 PM","GMT","1.59","2.07","4","Oxford, OH","0"
"134.53.87.106","5/2/2017 2:15 PM","GMT","46.53","13.87","2","Oxford, OH","0"
"134.53.233.209","6/1/2017 5:01 PM","GMT","94.60","95.12","3","Oxford, OH","0"
"134.53.233.209","6/1/2017 5:05 PM","GMT","94.60","95.07","2","Oxford, OH","0"
"68.180.88.20","6/5/2017 2:43 AM","GMT","7.04","6.17","38","Dayton, OH","50"
"68.180.88.20","6/5/2017 2:53 AM","GMT","3.98","10.02","80","Dayton, OH","50"
"68.180.88.20","6/5/2017 2:54 AM","GMT","4.52","14.72","99","Dayton, OH","50"
"68.180.88.20","6/5/2017 3:00 AM","GMT","5.68","4.64","42","Oxford, OH","0"
"68.180.88.20","6/5/2017 3:01 AM","GMT","2.22","3.09","72","Oxford, OH","0"
"68.180.88.20","6/5/2017 4:31 AM","GMT","21.86","11.29","44","Oxford, OH","0"
"162.225.77.108","6/16/2017 10:56 PM","GMT","3.10","3.27","32","Yellow Springs, OH","50"
"162.225.77.108","6/16/2017 11:05 PM","GMT","29.08","4.73","148","Yellow Springs, OH","50"
"162.225.77.108","6/16/2017 11:06 PM","GMT","29.09","4.66","35","Yellow Springs, OH","50"
"162.225.77.108","6/16/2017 11:15 PM","GMT","29.17","4.68","110","Yellow Springs, OH","50"
"162.225.77.108","6/16/2017 11:20 PM","GMT","14.81","4.70","41","Columbus, OH","0"
"162.225.77.108","6/16/2017 11:21 PM","GMT","14.65","4.69","112","Columbus, OH","0"
"162.225.77.108","6/17/2017 3:44 PM","GMT","29.48","4.75","41","Columbus, OH","0"
"162.225.77.108","6/17/2017 3:45 PM","GMT","29.55","4.68","72","Columbus, OH","0"
"162.225.77.108","6/17/2017 3:50 PM","GMT","27.87","4.70","38","Columbus, OH","0"
"66.44.10.145","7/1/2017 3:05 PM","GMT","177.30","18.16","10","Washington, DC","0"
"66.44.10.145","7/1/2017 3:06 PM","GMT","183.04","17.99","11","Washington, DC","0"
"68.180.88.17","7/7/2017 3:04 AM","GMT","0.16","0.64","304","Indianapolis, IN","100"
"68.180.88.17","7/7/2017 3:07 AM","GMT","0.27","1.76","305","Indianapolis, IN","100"
"68.180.88.17","7/7/2017 3:42 AM","GMT","168.82","183.56","37","Indianapolis, IN","100"
"174.233.4.189","7/23/2017 9:04 PM","GMT","4.30","2.63","69","Dayton, OH","50"
"68.180.88.19","7/30/2017 8:03 PM","GMT","173.29","166.20","37","Dayton, OH","50"
"68.180.88.19","7/30/2017 8:15 PM","GMT","176.97","110.90","42","Cincinnati, OH","50"
"134.53.233.98","9/9/2017 10:09 PM","GMT","285.59","661.65","1","Oxford, OH","0"
"134.53.233.98","9/9/2017 10:10 PM","GMT","622.32","712.94","2","Oxford, OH","0"
"134.53.233.98","9/9/2017 10:11 PM","GMT","287.63","598.13","1","Oxford, OH","0"
"134.53.89.17","10/11/2017 1:11 PM","GMT","23.57","18.25","7","Yellow Springs, OH","50"
"134.53.89.17","10/11/2017 1:11 PM","GMT","26.50","18.82","8","Yellow Springs, OH","50"
"134.53.235.130","12/7/2017 5:10 PM","GMT","88.97","95.06","2","Oxford, OH","0"
